file_name,company_name,registration_number,activity_code,report_year,target_bankrupt,altman_z_score,altman_z_zone,altman_z_prime_score,altman_z_prime_zone,data_quality_score,data_quality_label,warnings_count,total_assets,equity,total_liabilities,current_assets,short_term_liabilities,sales_revenue,operating_profit,net_profit,current_ratio,quick_ratio,cash_ratio,debt_to_assets,debt_to_equity,roa,operating_margin,net_profit_margin,asset_turnover,working_capital_to_assets,retained_earnings_to_assets,ebit_to_assets,equity_to_liabilities,sales_to_assets
adriatic.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA USLUGE U POMORSKOM SAOBRAĆAJU I ZA RAZVOJ PROJEKATA O NEKRETNINAMA ""ADRIATIC MARINAS"" TIVAT",02467593,9329,2025,,0.5895,Distress zone,0.5452,Distress zone,100,Visok kvalitet ekstrakcije,0,263678097.0,114227809,149450288,16238495.0,47483464,55516020,14486101,12941550,0.342,0.2709,0.0622,0.5668,1.3084,0.0491,0.2609,0.2331,0.2105,-0.1185,-0.0847,0.0549,0.7643,0.2105
aerodrom.pdf,"AKCIONARSKO DRUŠTVO ZA USLUŽNE DJELATNOSTI U VAZDUŠNOM SAOBRAĆAJU ""AERODROMI CRNE GORE"" PODGORICA",02305623,5223,2025,,3.3835,Safe zone,2.4526,Grey zone,100,Visok kvalitet ekstrakcije,0,184752834.0,149322250,35430584,61737404.0,19223230,35949439,15112618,12933560,3.2116,3.1784,0.0,0.1918,0.2373,0.07,0.4204,0.3598,0.1946,0.2301,0.0817,0.0818,4.2145,0.1946
anahit.pdf,"""ANAHIT COMPANY"" DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BUDVA",03547221,4339,2025,,-4769.5182,Distress zone,-3520.6292,Distress zone,72,Dobar kvalitet ekstrakcije,2,16.0,-18689,18705,16.0,16275,0,-9281,-9281,0.001,0.001,0.001,1169.0625,-1.0009,-580.0625,0.0,0.0,0.0,-1016.1875,-1168.0625,-580.0625,-0.9991,0.0
anl kapital.pdf,"DOO ""ANL KAPITAL"" ZA PROIZVODNJU, PROMET I USLUGE NIKŠIĆ",03768562,6920,2025,,-26.4337,Distress zone,-20.7167,Distress zone,72,Dobar kvalitet ekstrakcije,2,1319.0,-5610,6929,381.0,6929,4,-5611,-5611,0.055,0.055,0.0013,5.2532,-1.2351,-4.254,-1402.75,-1402.75,0.003,-4.9644,-4.254,-4.254,-0.8096,0.003
ayush yoga.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""AYUSH AYURVEDA AND YOGA THERAPHY CENTER"" PODGORICA",03767558,9604,2025,,-55.6453,Distress zone,-43.1329,Distress zone,72,Dobar kvalitet ekstrakcije,2,828.0,-8334,9162,828.0,9162,3304,-8259,-8334,0.0904,0.0904,0.0,11.0652,-1.0994,-10.0652,-2.4997,-2.5224,3.9903,-10.0652,-10.0652,-9.9746,-0.9096,3.9903
bar kod.pdf,"DRUŠTVO ZA PROIZVODNJU,PROMET I USLUGE ""BAR-KOD"" D.O.O. PODGORICA",02289334,4690,2025,,5.4669,Safe zone,4.4747,Safe zone,100,Visok kvalitet ekstrakcije,0,57919371.0,35988853,21930518,40161102.0,116149,144338688,5162048,4326327,345.7723,233.2229,0.2577,0.3786,0.6094,0.0747,0.0358,0.03,2.4921,0.6914,0.6207,0.0891,1.641,2.4921
bemax.pdf,"""BEMAX "" D.O.O. PODGORICA",02643448,4120,2025,,3.2919,Safe zone,2.2928,Grey zone,100,Visok kvalitet ekstrakcije,0,225388336.0,157103352,68284984,95419515.0,3147309,88850398,3769283,2927476,30.3178,22.6876,1.0192,0.303,0.4347,0.013,0.0424,0.0329,0.3942,0.4094,0.6937,0.0167,2.3007,0.3942
budvanska.pdf,"HOTELSKA GRUPA ""BUDVANSKA RIVIJERA"" A.D. - BUDVA",02005328,5510,2025,,4.1351,Safe zone,2.9431,Safe zone,100,Visok kvalitet ekstrakcije,0,214378264.0,186041096,28337168,4109138.0,3303907,22424540,5015623,1496420,1.2437,0.8202,0.3848,0.1322,0.1523,0.007,0.2237,0.0667,0.1046,0.0038,0.007,0.0234,6.5653,0.1046
capita.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU, PROMET I USLUGE, EXPORT - IMPORT ""CAPITA"" D.O.O. - HERCEG NOVI",02394383,6831,2025,,-1.9965,Distress zone,-1.471,Distress zone,72,Dobar kvalitet ekstrakcije,2,20925.0,-6596,27521,16494.0,27521,1535,-5335,-5335,0.5993,0.0185,0.0025,1.3152,-4.1724,-0.255,-3.4756,-3.4756,0.0734,-0.527,-0.323,-0.255,-0.2397,0.0734
cedis.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""CRNOGORSKI ELEKTRODISTRIBUTIVNI SISTEM"" PODGORICA",03099873,3513,2025,,2.9995,Safe zone,2.1792,Grey zone,100,Visok kvalitet ekstrakcije,0,548773630.0,448815392,99958238,60698817.0,26631276,141143738,3887949,2473524,2.2792,1.5011,0.0389,0.1821,0.2227,0.0045,0.0275,0.0175,0.2572,0.0621,-0.0352,0.0071,4.49,0.2572
cges.pdf,"""CRNOGORSKI ELEKTROPRENOSNI SISTEM"" AD",02751372,3512,2025,,2.7759,Grey zone,2.0073,Grey zone,100,Visok kvalitet ekstrakcije,0,375491709.0,275012899,100478810,68182471.0,1358527,93305935,25586085,20989630,50.1885,48.2721,40.6895,0.2676,0.3654,0.0559,0.2742,0.225,0.2485,0.178,0.3193,0.0681,2.737,0.2485
