company_name,registration_number,activity_code,report_year,file_name,target_bankrupt,label_source,altman_z_prime_score,altman_z_prime_zone,data_quality_score,current_ratio,quick_ratio,cash_ratio,debt_to_assets,debt_to_equity,roa,operating_margin,net_profit_margin,asset_turnover,working_capital_to_assets,retained_earnings_to_assets,ebit_to_assets,equity_to_liabilities,sales_to_assets
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA USLUGE U POMORSKOM SAOBRAĆAJU I ZA RAZVOJ PROJEKATA O NEKRETNINAMA ""ADRIATIC MARINAS"" TIVAT",2467593,9329,2025,adriatic.pdf,1,auto_altman_distress_zone,0.5452,Distress zone,100,0.342,0.2709,0.0622,0.5668,1.3084,0.0491,0.2609,0.2331,0.2105,-0.1185,-0.0847,0.0549,0.7643,0.2105
"AKCIONARSKO DRUŠTVO ZA USLUŽNE DJELATNOSTI U VAZDUŠNOM SAOBRAĆAJU ""AERODROMI CRNE GORE"" PODGORICA",2305623,5223,2025,aerodrom.pdf,,excluded_grey_zone,2.4526,Grey zone,100,3.2116,3.1784,0.0,0.1918,0.2373,0.07,0.4204,0.3598,0.1946,0.2301,0.0817,0.0818,4.2145,0.1946
"DRUŠTVO ZA PROIZVODNJU,PROMET I USLUGE ""BAR-KOD"" D.O.O. PODGORICA",2289334,4690,2025,bar kod.pdf,0,auto_altman_safe_zone,4.4747,Safe zone,100,345.7723,233.2229,0.2577,0.3786,0.6094,0.0747,0.0358,0.03,2.4921,0.6914,0.6207,0.0891,1.641,2.4921
"""BEMAX "" D.O.O. PODGORICA",2643448,4120,2025,bemax.pdf,,excluded_grey_zone,2.2928,Grey zone,100,30.3178,22.6876,1.0192,0.303,0.4347,0.013,0.0424,0.0329,0.3942,0.4094,0.6937,0.0167,2.3007,0.3942
"HOTELSKA GRUPA ""BUDVANSKA RIVIJERA"" A.D. - BUDVA",2005328,5510,2025,budvanska.pdf,0,auto_altman_safe_zone,2.9431,Safe zone,100,1.2437,0.8202,0.3848,0.1322,0.1523,0.007,0.2237,0.0667,0.1046,0.0038,0.007,0.0234,6.5653,0.1046
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU, PROMET I USLUGE, EXPORT - IMPORT ""CAPITA"" D.O.O. - HERCEG NOVI",2394383,6831,2025,capita.pdf,1,auto_altman_distress_zone,-1.471,Distress zone,72,0.5993,0.0185,0.0025,1.3152,-4.1724,-0.255,-3.4756,-3.4756,0.0734,-0.527,-0.323,-0.255,-0.2397,0.0734
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""CRNOGORSKI ELEKTRODISTRIBUTIVNI SISTEM"" PODGORICA",3099873,3513,2025,cedis.pdf,,excluded_grey_zone,2.1792,Grey zone,100,2.2792,1.5011,0.0389,0.1821,0.2227,0.0045,0.0275,0.0175,0.2572,0.0621,-0.0352,0.0071,4.49,0.2572
"""CRNOGORSKI ELEKTROPRENOSNI SISTEM"" AD",2751372,3512,2025,cges.pdf,,excluded_grey_zone,2.0073,Grey zone,100,50.1885,48.2721,40.6895,0.2676,0.3654,0.0559,0.2742,0.225,0.2485,0.178,0.3193,0.0681,2.737,0.2485
"""CRNAGORAPUT"" A.D. PODGORICA",2013703,4211,2025,crnagoraput.pdf,1,auto_altman_distress_zone,0.5215,Distress zone,80,1.5306,1.1012,2.2734,1.1166,-9.5747,0.0207,0.1005,0.0297,0.695,0.1387,-0.525,0.0698,-0.1044,0.695
"DRUŠTVO ZA VELETRGOVINU,USLUGE,EXPORT-IMPORT ""DMD DELTA"" D.O.O. PODGORICA",2329115,4690,2025,dmd delta.pdf,0,auto_altman_safe_zone,4.0282,Safe zone,80,2.1549,1.5656,0.3107,0.3685,0.5835,0.0913,0.0498,0.042,2.1727,0.3982,0.6119,0.1082,1.7137,2.1727
"""DOMAĆA TRGOVINA"" D.O.O. PODGORICA",2440261,4711,2025,domaca trgovina.pdf,,excluded_grey_zone,1.8566,Grey zone,100,0.6968,0.272,0.1766,0.6905,2.2305,0.0445,0.0386,0.0258,1.7255,-0.1145,-0.2109,0.0666,0.4483,1.7255
"D.O.O. ""ELL-MONT"" - ROŽAJE",2667380,4321,2025,ell-mont.pdf,,excluded_grey_zone,2.1093,Grey zone,92,1.6067,0.6825,0.2191,0.6014,1.5085,0.0217,0.0205,0.0185,1.1709,0.3648,0.3852,0.024,0.6629,1.1709
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""EPCG-SOLAR-GRADNJA"" NIKŠIĆ",3384624,4321,2025,epcg solar.pdf,,excluded_grey_zone,1.2158,Grey zone,72,0.2971,0.2971,0.0,2.3165,-1.7596,0.1302,0.0256,0.0312,4.171,-1.446,-2.3652,0.1069,-0.5683,4.171
ELEKTROPRIVREDA CRNE GORE AD-NIKŠIĆ,2002230,3511,2025,epcg.pdf,1,auto_altman_distress_zone,0.9915,Distress zone,100,0.7338,0.6289,0.0828,0.3059,0.4408,-0.0698,-0.2369,-0.2318,0.3012,-0.0388,-0.0147,-0.0714,2.2686,0.3012
"DRUŠTVO ZA TRGOVINU,PROMET I USLUGE,""FARMEGRA"" D.O.O. PODGORICA",2281864,4646,2025,farmegra.pdf,0,auto_altman_safe_zone,3.6029,Safe zone,100,1.3609,0.8434,0.2046,0.7226,2.6043,0.1162,0.0536,0.0445,2.6136,0.2571,0.2519,0.1402,0.384,2.6136
"DRUŠTVO ZA TRGOVINU NA VELIKO FARMACEUTSKIM PROIZVODIMA ""GLOSARIJ"" D.O.O. - PODGORICA",2118912,4646,2025,glosarij.pdf,0,auto_altman_safe_zone,3.5892,Safe zone,100,1.5685,1.0499,0.0272,0.6007,1.5044,0.1138,0.0585,0.0486,2.3425,0.291,0.3988,0.137,0.6647,2.3425
"DRUŠTVO SA OGRANIČENOM ODGOVORONOŠĆU ""HOTEL PRODUCTS"" DOO - PODGORICA",3552454,4690,2025,hotel products.pdf,1,auto_altman_distress_zone,-2.1356,Distress zone,72,0.0,0.0,0.0,1.4699,-3.1283,-0.282,0.0,0.0,0.0,-1.385,-0.4699,-0.1964,-0.3197,0.0
"PRIVREDNO DRUŠTVO ZA TRGOVINU I USLUGE ""IDEA - CG"" D.O.O. - PODGORICA",2793962,4719,2025,idea.pdf,,excluded_grey_zone,2.4628,Grey zone,100,70.4205,15.9343,0.0,0.8311,4.9211,0.0106,0.0201,0.005,2.1029,0.3303,-0.1058,0.0423,0.2032,2.1029
"""KIPS"" KVALITET I POSLOVNA SIGURNOST DRUŠTVO ZA PROIZVODNJU I PROMET ROBA I USLUGA D.O.O. PODGORICA",2047403,4673,2025,kips.pdf,0,auto_altman_safe_zone,6.7532,Safe zone,100,7.2191,2.6699,1.1974,0.092,0.1013,0.0955,0.0973,0.0829,1.1524,0.498,0.8891,0.1121,9.8683,1.1524
"""HARD DISCOUNT LAKOVIĆ"" D.O.O. - PODGORICA",2739500,4690,2025,lakovic.pdf,,excluded_grey_zone,2.5905,Grey zone,100,0.7591,0.2057,0.0358,0.6537,1.8875,0.0814,0.0601,0.0449,1.8121,-0.1008,0.3463,0.1089,0.5298,1.8121
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""LIMI&PEK"" DOO PODGORICA",3681505,1071,2025,limi pek.pdf,,excluded_grey_zone,1.7778,Grey zone,92,0.7678,0.0507,0.0412,0.9077,9.8293,0.0626,0.0431,0.0392,1.5973,-0.2108,0.0923,0.0688,0.1017,1.5973
"""LOB COMMPANY"" DOO ZA PROMET I USLUGE,EXPORT-IMPORT - PODGORICA",2335450,9200,2024,lob.pdf,0,auto_altman_safe_zone,3.6926,Safe zone,100,1.2794,1.2721,1.1625,0.6565,1.9113,0.199,0.1504,0.0935,2.1295,0.122,0.3126,0.3204,0.5232,2.1295
"""LUŠTICA DEVELOPMENT""AD TIVAT",2744597,5510,2025,lustica.pdf,1,auto_altman_distress_zone,0.4443,Distress zone,100,0.715,0.4978,0.0608,0.6781,2.1068,0.002,0.0826,0.0066,0.3018,-0.1414,-0.0383,0.0249,0.4747,0.3018
