company_name,registration_number,activity_code,report_year,file_name,target_bankrupt,label_source,altman_z_prime_score,altman_z_prime_zone,data_quality_score,current_ratio,quick_ratio,cash_ratio,debt_to_assets,debt_to_equity,roa,operating_margin,net_profit_margin,asset_turnover,working_capital_to_assets,retained_earnings_to_assets,ebit_to_assets,equity_to_liabilities,sales_to_assets
"AKCIONARSKO DRUŠTVO ZA USLUŽNE DJELATNOSTI U VAZDUŠNOM SAOBRAĆAJU ""AERODROMI CRNE GORE"" PODGORICA",2305623,5223,2025,aerodrom.pdf,,excluded_grey_zone,2.4526,Grey zone,100,3.2116,3.1784,0.0,0.1918,0.2373,0.07,0.4204,0.3598,0.1946,0.2301,0.0817,0.0818,4.2145,0.1946
"""BEMAX "" D.O.O. PODGORICA",2643448,4120,2025,bemax.pdf,,excluded_grey_zone,2.2928,Grey zone,100,30.3178,22.6876,1.0192,0.303,0.4347,0.013,0.0424,0.0329,0.3942,0.4094,0.6937,0.0167,2.3007,0.3942
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""CRNOGORSKI ELEKTRODISTRIBUTIVNI SISTEM"" PODGORICA",3099873,3513,2025,cedis.pdf,,excluded_grey_zone,2.1792,Grey zone,100,2.2792,1.5011,0.0389,0.1821,0.2227,0.0045,0.0275,0.0175,0.2572,0.0621,-0.0352,0.0071,4.49,0.2572
"""CRNOGORSKI ELEKTROPRENOSNI SISTEM"" AD",2751372,3512,2025,cges.pdf,,excluded_grey_zone,2.0073,Grey zone,100,50.1885,48.2721,40.6895,0.2676,0.3654,0.0559,0.2742,0.225,0.2485,0.178,0.3193,0.0681,2.737,0.2485
"""DOMAĆA TRGOVINA"" D.O.O. PODGORICA",2440261,4711,2025,domaca trgovina.pdf,,excluded_grey_zone,1.8566,Grey zone,100,0.6968,0.272,0.1766,0.6905,2.2305,0.0445,0.0386,0.0258,1.7255,-0.1145,-0.2109,0.0666,0.4483,1.7255
"D.O.O. ""ELL-MONT"" - ROŽAJE",2667380,4321,2025,ell-mont.pdf,,excluded_grey_zone,2.1093,Grey zone,92,1.6067,0.6825,0.2191,0.6014,1.5085,0.0217,0.0205,0.0185,1.1709,0.3648,0.3852,0.024,0.6629,1.1709
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""EPCG-SOLAR-GRADNJA"" NIKŠIĆ",3384624,4321,2025,epcg solar.pdf,,excluded_grey_zone,1.2158,Grey zone,72,0.2971,0.2971,0.0,2.3165,-1.7596,0.1302,0.0256,0.0312,4.171,-1.446,-2.3652,0.1069,-0.5683,4.171
"PRIVREDNO DRUŠTVO ZA TRGOVINU I USLUGE ""IDEA - CG"" D.O.O. - PODGORICA",2793962,4719,2025,idea.pdf,,excluded_grey_zone,2.4628,Grey zone,100,70.4205,15.9343,0.0,0.8311,4.9211,0.0106,0.0201,0.005,2.1029,0.3303,-0.1058,0.0423,0.2032,2.1029
"""HARD DISCOUNT LAKOVIĆ"" D.O.O. - PODGORICA",2739500,4690,2025,lakovic.pdf,,excluded_grey_zone,2.5905,Grey zone,100,0.7591,0.2057,0.0358,0.6537,1.8875,0.0814,0.0601,0.0449,1.8121,-0.1008,0.3463,0.1089,0.5298,1.8121
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""LIMI&PEK"" DOO PODGORICA",3681505,1071,2025,limi pek.pdf,,excluded_grey_zone,1.7778,Grey zone,92,0.7678,0.0507,0.0412,0.9077,9.8293,0.0626,0.0431,0.0392,1.5973,-0.2108,0.0923,0.0688,0.1017,1.5973
"DRUŠTVO ZA PROIZVODNJU,PROMET I USLUGE ""MESO-PROMET"" D.O.O. BIJELO POLJE",2063344,1011,2025,meso promet.pdf,,excluded_grey_zone,2.7508,Grey zone,100,1.86,1.025,0.0264,0.3868,0.6308,0.0567,0.0529,0.0408,1.3896,0.1932,0.3912,0.0735,1.5852,1.3896
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""MONTE PUT"" - PODGORICA",2462494,5221,2025,mote put.pdf,,excluded_grey_zone,1.288,Grey zone,80,0.9031,0.742,0.5813,0.8509,5.7082,0.1378,0.2461,0.2185,0.6306,-0.0194,0.1378,0.1552,0.1752,0.6306
"""MPM"" DRUŠTVO ZA TRGOVINU, ZASTUPANJE I POSREDOVANJE DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU PODGORICA",2047861,4690,2025,mpm.pdf,,excluded_grey_zone,2.2821,Grey zone,100,1.0097,0.109,0.021,0.8629,6.2914,0.0738,0.0646,0.0422,1.7484,0.0054,0.1363,0.113,0.1589,1.7484
"DRUŠTVO ZA TELEKOMUNIKACIJE ""MTEL"" DOO PODGORICA",2655284,6120,2025,mtel.pdf,,excluded_grey_zone,1.4171,Grey zone,100,0.4419,0.3776,0.0038,0.4838,0.9374,0.1447,0.6623,0.5082,0.2847,-0.1648,0.2566,0.1885,1.0668,0.2847
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROMET, IZGRADNJU I EKSPLOATACIJU MREŽE MOBILNIH TELEKOMUNIKACIJA ""ONE CRNA GORA"" DOO PODGORICA",2242974,6190,2025,one.pdf,,excluded_grey_zone,2.6314,Grey zone,100,3.2299,2.777,0.0,0.2489,0.3314,0.0907,0.2191,0.1899,0.4776,0.1482,0.5383,0.1046,3.0179,0.4776
POŠTA CRNE GORE AKCIONARSKO DRUŠTVO PODGORICA,2867940,5310,2025,posta.pdf,,excluded_grey_zone,2.2459,Grey zone,100,3.2082,3.1405,0.0,0.2187,0.2799,0.0094,0.0478,0.0201,0.4664,0.2206,0.0617,0.0223,3.5731,0.4664
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""VOLI TRADE"" D.O.O. ZA PROMET I USLUGE EXPORT- IMPORT - PODGORICA",2227312,4690,2025,voli.pdf,,excluded_grey_zone,2.2027,Grey zone,100,0.8656,0.2302,0.0471,0.6603,1.9434,0.0644,0.0639,0.0421,1.5296,-0.0609,0.2359,0.0978,0.5146,1.5296
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""ZETAGRADNJA"" PODGORICA",2278383,4120,2024,zetagradnja.pdf,,excluded_grey_zone,1.92,Grey zone,100,6.0835,2.2824,2.0682,0.3211,0.4729,0.0622,0.29,0.3542,0.1755,0.3333,0.5427,0.0509,2.1145,0.1755
